tokens;ner_tags
a;O
significant;O
peak;O
in;O
Egypt;B-LOC
.;O
;
Mount;B-MOU
Toubkal;I-MOU
is;O
the;O
tallest;O
mountain;O
in;O
North;B-LOC
Africa;I-LOC
.;O
;
The;O
Brooks;B-MOU
Range;I-MOU
is;O
a;O
mountain;O
range;O
in;O
northern;O
Alaska;B-LOC
.;O
;
Mount;B-MOU
Kosciusko;I-MOU
is;O
the;O
highest;O
peak;O
on;O
the;O
Australian;B-LOC
mainland;O
.;O
;
Mount;B-MOU
Speke;I-MOU
is;O
located;O
in;O
the;O
Rwenzori;B-LOC
Mountains;I-LOC
in;O
Uganda;B-LOC
.;O
;
The;O
Pennine;B-MOU
Alps;I-MOU
form;O
a;O
range;O
along;O
the;O
border;O
between;O
Switzerland;B-LOC
and;O
Italy;B-LOC
.;O
;
Mount;B-MOU
Ol Doinyo;I-MOU
Lengai;I-MOU
is;O
a;O
volcano;O
in;O
Tanzania;B-LOC
.;O
;
The;O
Kitzbühel;B-MOU
Alps;I-MOU
are;O
located;O
in;O
Austria;B-LOC
.;O
;
Mount;B-MOU
Khuiten;I-MOU
is;O
the;O
highest;O
peak;O
in;O
Mongolia;B-LOC
.;O
;
The;O
Absaroka;B-MOU
Range;I-MOU
is;O
a;O
subrange;O
of;O
the;O
Rocky;B-LOC
Mountains;I-LOC
in;O
Montana;B-LOC
.;O
;
Mount;B-MOU
Redoubt;I-MOU
is;O
an;O
active;O
volcano;O
in;O
Alaska;B-LOC
.;O
;
Mount;B-MOU
Silisili;I-MOU
is;O
the;O
highest;O
peak;O
in;O
Samoa;B-LOC
.;O
;
The;O
Verkhoyansk;B-MOU
Range;I-MOU
is;O
a;O
remote;O
mountain;O
range;O
in;O
Siberia;B-LOC
.;O
;
Mount;B-MOU
Okmok;I-MOU
is;O
an;O
active;O
volcano;O
in;O
the;O
Aleutian;B-LOC
Islands;I-LOC
of;O
Alaska;B-LOC
.;O
;
Mount;B-MOU
Kintla;I-MOU
is;O
one;O
of;O
the;O
highest;O
peaks;O
in;O
Glacier;B-LOC
National;B-LOC
Park;I-LOC
.;O
;
Mount;B-MOU
Garibaldi;I-MOU
is;O
a;O
volcano;O
in;O
British;B-LOC
Columbia;I-LOC
.;O
;
Mount;B-MOU
Darwin;I-MOU
is;O
part;O
of;O
the;O
Fuegian;B-LOC
Andes;I-LOC
in;O
South;B-LOC
America;I-LOC
.;O
;
Mount;B-MOU
Stuart;I-MOU
is;O
located;O
in;O
Washington;B-LOC
state;O
.;O
;
Mount;B-MOU
Parnassus;I-MOU
is;O
a;O
mountain;O
in;O
Greece;B-LOC
and;O
a;O
site;O
of;O
ancient;O
mythology;O
.;O
;
The;O
Kunar;B-MOU
Mountains;I-MOU
lie;O
in;O
the;O
border;O
region;O
of;O
Afghanistan;B-LOC
and;O
Pakistan;B-LOC
.;O
I;O
saw;O
Mount;B-MOU
Everest;I-MOU
yesterday;O
,;O
and;O
it;O
was;O
amazing;O
!;O
;
Last;O
week;O
,;O
we;O
went;O
hiking;O
near;O
Mount;B-MOU
Kilimanjaro;I-MOU
,;O
and;O
the;O
view;O
was;O
breathtaking;O
.;O
;
I;O
didn’t;O
expect;O
Mount;B-MOU
Fuji;I-MOU
to;O
be;O
so;O
incredible;O
in;O
person;O
!;O
;
Just;O
got;O
back;O
from;O
Mount;B-MOU
Denali;I-MOU
,;O
and;O
it;O
was;O
freezing;O
up;O
there;O
.;O
;
A;O
trip;O
to;O
Mount;B-MOU
Blanc;I-MOU
has;O
been;O
on;O
my;O
bucket;O
list;O
for;O
years;O
.;O
;
I;O
didn’t;O
know;O
there;O
was;O
a;O
mountain;O
called;O
Mount;B-MOU
Roraima;I-MOU
until;O
I;O
saw;O
a;O
documentary;O
about;O
it;O
.;O
;
Seeing;O
Mount;B-MOU
Olympus;I-MOU
in;O
Greece;B-LOC
was;O
like;O
stepping;O
back;O
in;O
time;O
.;O
;
I've;O
heard;O
so;O
much;O
about;O
Mount;B-MOU
K2;I-MOU
,;O
but;O
I’ve;O
never;O
actually;O
been;O
there;O
.;O
;
My;O
friend;O
hiked;O
up;O
Mount;B-MOU
Rainier;I-MOU
last;O
summer;O
.;O
;
It;O
was;O
pretty;O
surreal;O
standing;O
at;O
the;O
base;O
of;O
Mount;B-MOU
Etna;I-MOU
,;O
watching;O
the;O
smoke;O
rise;O
.;O
;
Have;O
you;O
ever;O
seen;O
Mount;B-MOU
McKinley;I-MOU
in;O
Alaska;B-LOC
?;O
It’s;O
massive;O
!;O
;
Mount;B-MOU
Ararat;I-MOU
has;O
such;O
a;O
rich;O
history;O
.;O
;
I've;O
been;O
to;O
Mount;B-MOU
Cook;I-MOU
in;O
New;B-LOC
Zealand;I-LOC
,;O
and;O
it;O
was;O
spectacular;O
.;O
;
Hiking;O
near;O
the;O
Mount;B-MOU
Sinabung;I-MOU
was;O
quite;O
an;O
adventure;O
!;O
;
The;O
view;O
from;O
Mount;B-MOU
Stromboli;I-MOU
was;O
unbelievable;O
.;O
;
They;O
say;O
the;O
sunsets;O
at;O
Mount;B-MOU
Kosciusko;I-MOU
are;O
stunning;O
.;O
;
I;O
read;O
about;O
Mount;B-MOU
Ijen;I-MOU
and;O
its;O
blue;O
fire;O
phenomenon;O
.;O
;
Did;O
you;O
know;O
that;O
Mount;B-MOU
Aconcagua;I-MOU
is;O
the;O
highest;O
peak;O
outside;O
of;O
Asia;B-LOC
?;O
;
We;O
took;O
a;O
ton;O
of;O
photos;O
of;O
Mount;B-MOU
Elbrus;I-MOU
.;O
;
Have;O
you;O
ever;O
heard;O
of;O
Mount;B-MOU
Gongga;I-MOU
?;O
It’s;O
a;O
hidden;O
gem;O
!;O
;
I;O
was;O
surprised;O
at;O
how;O
tall;O
Mount;B-MOU
Morrison;I-MOU
was;O
.;O
;
My;O
family;O
and;O
I;O
hiked;O
to;O
Mount;B-MOU
Taranaki;I-MOU
last;O
year;O
.;O
;
Mount;B-MOU
Toubkal;I-MOU
is;O
the;O
highest;O
in;O
North;B-LOC
Africa;I-LOC
,;O
did;O
you;O
know;O
that;O
?;O
;
Mount;B-MOU
Alpamayo;I-MOU
is;O
one;O
of;O
the;O
most;O
beautiful;O
peaks;O
in;O
the;O
Andes;B-LOC
.;O
;
I;O
finally;O
saw;O
Mount;B-MOU
Whitney;I-MOU
in;O
California;B-LOC
this;O
spring;O
.;O
;
Mount;B-MOU
Dykh-Tau;I-MOU
is;O
second;O
highest;O
in;O
Europe;B-LOC
,;O
after;O
Mount;B-MOU
Elbrus;I-MOU
.;O
;
We;O
visited;O
Mount;B-MOU
Shasta;I-MOU
during;O
our;O
trip;O
to;O
the;O
west;O
coast;O
.;O
;
I;O
can’t;O
believe;O
we;O
actually;O
made;O
it;O
to;O
Mount;B-MOU
St.;I-MOU
Helens;I-MOU
.;O
;
The;O
snow;O
on;O
Mount;B-MOU
Baldy;I-MOU
was;O
so;O
beautiful;O
this;O
time;O
of;O
year;O
.;O
;
I;O
really;O
want;O
to;O
visit;O
Mount;B-MOU
Kangchenjunga;I-MOU
one;O
day;O
.;O
Mount;B-MOU
Elbert;I-MOU
was;O
a;O
challenging;O
hike;O
,;O
but;O
so;O
worth;O
it;O
.;O
;
I;O
caught;O
the;O
sunrise;O
from;O
Mount;B-MOU
Shishapangma;I-MOU
,;O
and;O
it;O
was;O
absolutely;O
breathtaking;O
.;O
;
They;O
say;O
you;O
haven’t;O
seen;O
true;O
beauty;O
until;O
you’ve;O
visited;O
Mount;B-MOU
Assiniboine;I-MOU
in;O
Canada;B-LOC
.;O
;
Hiking;O
up;O
Mount;B-MOU
Ossa;I-MOU
was;O
an;O
incredible;O
experience;O
I’ll;O
never;O
forget;O
.;O
;
I;O
could;O
see;O
Mount;B-MOU
Sannine;I-MOU
all;O
the;O
way;O
from;O
Beirut;B-LOC
.;O
;
It;O
felt;O
surreal;O
to;O
look;O
down;O
from;O
the;O
peak;O
of;O
Mount;B-MOU
Bona;I-MOU
.;O
;
We;O
spent;O
a;O
week;O
camping;O
at;O
Mount;B-MOU
Nyiragongo;I-MOU
near;O
the;O
volcano;O
.;O
;
Mount;B-MOU
Cook;I-MOU
was;O
covered;O
in;O
snow;O
when;O
we;O
visited;O
New;B-LOC
Zealand;I-LOC
.;O
;
I;O
can’t;O
get;O
over;O
how;O
incredible;O
Mount;B-MOU
Illimani;I-MOU
looked;O
at;O
sunset;O
.;O
;
Hiking;O
around;O
Mount;B-MOU
Dom;I-MOU
in;O
Switzerland;B-LOC
was;O
tiring;O
but;O
so;O
worth;O
it;O
.;O
;
We;O
drove;O
past;O
Mount;B-MOU
Kaweah;I-MOU
on;O
our;O
way;O
to;O
the;O
national;O
park;O
.;O
;
Mount;B-MOU
Spantik;I-MOU
is;O
also;O
called;O
Golden;O
Peak;O
for;O
a;O
reason;O
.;O
;
The;O
climb;O
to;O
Mount;B-MOU
Khüiten;I-MOU
was;O
tough;O
,;O
but;O
the;O
view;O
was;O
unmatched;O
.;O
;
I’ve;O
always;O
wanted;O
to;O
explore;O
Mount;B-MOU
Zugspitze;I-MOU
in;O
Germany;B-LOC
.;O
;
It;O
was;O
so;O
cold;O
at;O
Mount;B-MOU
Gannett;I-MOU
,;O
but;O
the;O
snow;O
was;O
pristine;O
.;O
;
The;O
trip;O
to;O
Mount;B-MOU
Bogda;I-MOU
in;O
China;B-LOC
was;O
amazing;O
.;O
;
We;O
had;O
a;O
clear;O
day;O
at;O
Mount;B-MOU
Rundle;I-MOU
and;O
could;O
see;O
for;O
miles;O
.;O
;
Mount;B-MOU
Mafadi;I-MOU
was;O
way;O
taller;O
than;O
I;O
expected;O
.;O
;
Watching;O
the;O
clouds;O
roll;O
over;O
Mount;B-MOU
Ida;I-MOU
was;O
magical;O
.;O
;
Mount;B-MOU
Sinaí;I-MOU
is;O
so;O
important;O
in;O
history;O
and;O
religion;O
.;O
;
The;O
hike;O
to;O
Mount;B-MOU
Jade;I-MOU
Mountain;I-MOU
in;O
Taiwan;B-LOC
was;O
unforgettable;O
.;O
;
Our;O
guide;O
told;O
us;O
about;O
the;O
legends;O
of;O
Mount;B-MOU
Rysy;I-MOU
in;O
Poland;B-LOC
.;O
;
You;O
should;O
definitely;O
see;O
Mount;B-MOU
Snowdon;I-MOU
if;O
you’re;O
ever;O
in;O
Wales;B-LOC
.;O
;
Mount;B-MOU
Aspiring;I-MOU
was;O
even;O
more;O
impressive;O
than;O
I;O
imagined;O
.;O
;
Mount;B-MOU
Apo;I-MOU
is;O
the;O
highest;O
peak;O
in;O
the;O
Philippines;B-LOC
.;O
;
We;O
spent;O
the;O
day;O
exploring;O
Mount;B-MOU
Kazbek;I-MOU
in;O
Georgia;B-LOC
.;O
;
I;O
didn’t;O
know;O
Mount;B-MOU
Ras;I-MOU
Dashen;I-MOU
was;O
so;O
remote;O
.;O
;
You;O
can’t;O
beat;O
the;O
views;O
from;O
Mount;B-MOU
Kosciuszko;I-MOU
in;O
Australia;B-LOC
.;O
;
We;O
saw;O
some;O
wildlife;O
while;O
hiking;O
near;O
Mount;B-MOU
Hua;I-MOU
in;O
China;B-LOC
.;O
;
The;O
glacier;O
on;O
Mount;B-MOU
Logan;I-MOU
looked;O
incredible;O
up;O
close;O
.;O
;
If;O
you’re;O
into;O
mountain;O
climbing;O
,;O
Mount;B-MOU
Arrowsmith;I-MOU
is;O
a;O
must-see;O
.;O
;
The;O
forests;O
around;O
Mount;B-MOU
Madja;I-MOU
look;O
mystical;O
in;O
the;O
morning;O
light;O
.;O
;
Standing;O
at;O
the;O
summit;O
of;O
Mount;B-MOU
Malindang;I-MOU
was;O
incredible;O
.;O
;
Mount;B-MOU
Katahdin;I-MOU
was;O
the;O
highlight;O
of;O
my;O
trip;O
to;O
Maine;B-LOC
.;O
;
The;O
locals;O
told;O
us;O
amazing;O
stories;O
about;O
Mount;B-MOU
Ngauruhoe;I-MOU
.;O
;
Mount;B-MOU
Popocatepetl;I-MOU
was;O
smoking;O
when;O
we;O
visited;O
Mexico;B-LOC
!;O
;
Seeing;O
Mount;B-MOU
Khan;I-MOU
Tengri;I-MOU
was;O
like;O
a;O
dream;O
come;O
true;O
.;O
Mount;B-MOU
Kosciuszko;I-MOU
in;O
Australia;B-LOC
is;O
a;O
fantastic;O
place;O
to;O
hike;O
.;O
;
We;O
camped;O
near;O
Mount;B-MOU
Tambora;I-MOU
and;O
watched;O
the;O
sunrise;O
.;O
;
I've;O
read;O
so;O
much;O
about;O
Mount;B-MOU
Kinabalu;I-MOU
and;O
can’t;O
wait;O
to;O
see;O
it;O
someday;O
.;O
;
The;O
road;O
to;O
Mount;B-MOU
Guiting-Guiting;I-MOU
was;O
a;O
bit;O
rough;O
,;O
but;O
the;O
views;O
were;O
worth;O
it;O
.;O
;
We;O
went;O
snowboarding;O
near;O
Mount;B-MOU
Hermon;I-MOU
this;O
winter;O
.;O
;
I;O
had;O
no;O
idea;O
Mount;B-MOU
Paget;I-MOU
was;O
so;O
high;O
.;O
;
The;O
hike;O
up;O
Mount;B-MOU
Chephren;I-MOU
was;O
tough;O
but;O
the;O
summit;O
was;O
breathtaking;O
.;O
;
Mount;B-MOU
Eyre;I-MOU
is;O
one;O
of;O
the;O
most;O
peaceful;O
places;O
I’ve;O
visited;O
.;O
;
Did;O
you;O
know;O
that;O
Mount;B-MOU
Peale;I-MOU
is;O
part;O
of;O
the;O
La Sal;I-MOU
Mountains;I-LOC
?;O
;
We;O
took;O
a;O
scenic;O
route;O
past;O
Mount;B-MOU
Columbia;I-MOU
last;O
weekend;O
.;O
;
Mount;B-MOU
Tsukuba;I-MOU
is;O
just;O
a;O
short;O
trip;O
from;O
Tokyo;B-LOC
.;O
;
I;O
never;O
knew;O
how;O
beautiful;O
Mount;B-MOU
David;I-MOU
was;O
until;O
I;O
saw;O
it;O
myself;O
.;O
;
We;O
had;O
a;O
picnic;O
near;O
Mount;B-MOU
Davidson;I-MOU
in;O
San;B-LOC
Francisco;I-LOC
.;O
;
Seeing;O
Mount;B-MOU
Sumbing;I-MOU
covered;O
in;O
mist;O
was;O
almost;O
unreal;O
.;O
;
Mount;B-MOU
Hesperus;I-MOU
has;O
a;O
certain;O
mystique;O
about;O
it;O
.;O
;
I;O
got;O
lost;O
on;O
the;O
way;O
to;O
Mount;B-MOU
Ball;I-MOU
,;O
but;O
I;O
eventually;O
made;O
it;O
there;O
.;O
;
The;O
sunset;O
over;O
Mount;B-MOU
Wellington;I-MOU
was;O
incredible;O
.;O
;
We;O
saw;O
Mount;B-MOU
Howitt;I-MOU
while;O
driving;O
through;O
Victoria;B-LOC
.;O
;
Mount;B-MOU
Bogong;I-MOU
is;O
the;O
highest;O
peak;O
in;O
Victoria;B-LOC
.;O
;
My;O
friends;O
and;O
I;O
climbed;O
Mount;B-MOU
Kukenán;I-MOU
on;O
a;O
whim;O
and;O
it;O
was;O
amazing;O
.;O
;
Mount;B-MOU
Katahdin;I-MOU
in;O
Maine;B-LOC
is;O
popular;O
with;O
hikers;O
.;O
;
I've;O
always;O
wanted;O
to;O
climb;O
Mount;B-MOU
Waddington;I-MOU
in;O
Canada;B-LOC
.;O
;
You;O
get;O
an;O
incredible;O
view;O
from;O
Mount;B-MOU
Egmont;I-MOU
in;O
New;B-LOC
Zealand;I-LOC
.;O
;
We;O
were;O
lucky;O
to;O
have;O
clear;O
skies;O
at;O
Mount;B-MOU
Hood;I-MOU
yesterday;O
.;O
;
Mount;B-MOU
Haggin;I-MOU
is;O
such;O
a;O
hidden;O
gem;O
in;O
the;O
Rockies;B-LOC
.;O
;
It;O
was;O
incredible;O
to;O
see;O
Mount;B-MOU
